Região;UF;Cidade;Sexo;Faixa Etária;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
S ;PR;São José dos Pinhais;M;entre 41 a 50 anos;2024-09-16;7;JNS Seguros;Seguros, Capitalização e Previdência;Serviços Financeiros;Seguros de Veículos;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
SE;MG;Timóteo;F;entre 31 a 40 anos;2024-09-14;8;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;S;Finalizada avaliada;Não Resolvida;1
CO;DF;Brasília;F;entre 41 a 50 anos;2024-09-04;4;PayPal do Brasil;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Cobrança / Contestação;Negativação indevida referente a tarifa, taxas não previstas contrato / serviço;Internet;S;S;Finalizada avaliada;Resolvida;4
NE;PE;Caruaru;M;entre 31 a 40 anos;2024-09-21;4;Correios;Empresas de Serviços Postais e Logística;Demais Serviços ;Serviços Postais;Vício de Qualidade;Má qualidade do serviço;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;São Paulo;M;entre 31 a 40 anos;2024-09-02;8;Cartões Itaú;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Internet;S;S;Finalizada avaliada;Não Resolvida;1
S ;PR;Cascavel;F;entre 31 a 40 anos;2024-09-03;10;Samsung - Loja Online;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Televisão;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;N;S;Finalizada avaliada;Resolvida;5
SE;RJ;Rio de Janeiro;M;mais de 70 anos;2024-09-25;7;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Internet;N;S;Finalizada avaliada;Resolvida;5
CO;DF;Brasília;M;entre 31 a 40 anos;2024-09-16;2;Banco Inter (Banco Intermedium);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Telefone;S;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Rio de Janeiro;F;entre 31 a 40 anos;2024-09-13;9;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Não Resolvida;1
NE;BA;Salvador;M;entre 41 a 50 anos;2024-09-04;9;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;1
